STATE,USPS Code,LEGAL,DCRIM,MED,year,legal_year
1,AL,0,0,0,2006,NA
2,AK,0,0,1,2006,2014
4,AZ,0,0,0,2006,NA
5,AR,0,0,0,2006,NA
6,CA,0,1,1,2006,2016
8,CO,0,1,0,2006,2012
9,CT,0,0,0,2006,NA
10,DE,0,0,0,2006,NA
11,DC,0,0,0,2006,NA
12,FL,0,0,0,2006,NA
13,GA,0,0,0,2006,NA
15,HI,0,0,1,2006,NA
16,ID,0,0,0,2006,NA
17,IL,0,0,0,2006,2019
18,IN,0,0,0,2006,NA
19,IA,0,0,0,2006,NA
20,KS,0,0,0,2006,NA
21,KY,0,0,0,2006,NA
22,LA,0,0,0,2006,NA
23,ME,0,0,1,2006,2016
24,MD,0,0,0,2006,NA
25,MA,0,0,0,2006,2016
26,MI,0,0,0,2006,2018
27,MN,0,1,0,2006,NA
28,MS,0,1,0,2006,NA
29,MO,0,0,0,2006,NA
30,MT,0,0,1,2006,NA
31,NE,0,1,0,2006,NA
32,NV,0,0,1,2006,2016
33,NH,0,0,0,2006,NA
34,NJ,0,0,0,2006,NA
35,NM,0,1,0,2006,NA
36,NY,0,1,0,2006,NA
37,NC,0,1,0,2006,NA
38,ND,0,0,0,2006,NA
39,OH,0,1,0,2006,NA
40,OK,0,0,0,2006,NA
41,OR,0,0,1,2006,2014
42,PA,0,0,0,2006,NA
43,PR,0,0,0,2006,NA
44,RI,0,0,0,2006,NA
45,SC,0,0,0,2006,NA
46,SD,0,0,0,2006,NA
47,TN,0,0,0,2006,NA
48,TX,0,0,0,2006,NA
49,UT,0,0,0,2006,NA
50,VT,0,0,1,2006,2018
51,VA,0,0,0,2006,NA
53,WA,0,0,1,2006,2012
54,WV,0,0,0,2006,NA
55,WI,0,0,0,2006,NA
56,WY,0,0,0,2006,NA
1,AL,0,0,0,2007,NA
2,AK,0,0,1,2007,2014
4,AZ,0,0,0,2007,NA
5,AR,0,0,0,2007,NA
6,CA,0,1,1,2007,2016
8,CO,0,1,0,2007,2012
9,CT,0,0,0,2007,NA
10,DE,0,0,0,2007,NA
11,DC,0,0,0,2007,NA
12,FL,0,0,0,2007,NA
13,GA,0,0,0,2007,NA
15,HI,0,0,1,2007,NA
16,ID,0,0,0,2007,NA
17,IL,0,0,0,2007,2019
18,IN,0,0,0,2007,NA
19,IA,0,0,0,2007,NA
20,KS,0,0,0,2007,NA
21,KY,0,0,0,2007,NA
22,LA,0,0,0,2007,NA
23,ME,0,0,1,2007,2016
24,MD,0,0,0,2007,NA
25,MA,0,0,0,2007,2016
26,MI,0,0,0,2007,2018
27,MN,0,1,0,2007,NA
28,MS,0,1,0,2007,NA
29,MO,0,0,0,2007,NA
30,MT,0,0,1,2007,NA
31,NE,0,1,0,2007,NA
32,NV,0,0,1,2007,2016
33,NH,0,0,0,2007,NA
34,NJ,0,0,0,2007,NA
35,NM,0,0,1,2007,NA
36,NY,0,1,0,2007,NA
37,NC,0,1,0,2007,NA
38,ND,0,0,0,2007,NA
39,OH,0,1,0,2007,NA
40,OK,0,0,0,2007,NA
41,OR,0,0,1,2007,2014
42,PA,0,0,0,2007,NA
43,PR,0,0,0,2007,NA
44,RI,0,0,1,2007,NA
45,SC,0,0,0,2007,NA
46,SD,0,0,0,2007,NA
47,TN,0,0,0,2007,NA
48,TX,0,0,0,2007,NA
49,UT,0,0,0,2007,NA
50,VT,0,0,1,2007,2018
51,VA,0,0,0,2007,NA
53,WA,0,0,1,2007,2012
54,WV,0,0,0,2007,NA
55,WI,0,0,0,2007,NA
56,WY,0,0,0,2007,NA
1,AL,0,0,0,2008,NA
2,AK,0,0,1,2008,2014
4,AZ,0,0,1,2008,NA
5,AR,0,0,0,2008,NA
6,CA,0,1,1,2008,2016
8,CO,0,1,0,2008,2012
9,CT,0,0,0,2008,NA
10,DE,0,0,0,2008,NA
11,DC,0,0,0,2008,NA
12,FL,0,0,0,2008,NA
13,GA,0,0,0,2008,NA
15,HI,0,0,1,2008,NA
16,ID,0,0,0,2008,NA
17,IL,0,0,0,2008,2019
18,IN,0,0,0,2008,NA
19,IA,0,0,0,2008,NA
20,KS,0,0,0,2008,NA
21,KY,0,0,0,2008,NA
22,LA,0,0,0,2008,NA
23,ME,0,0,1,2008,2016
24,MD,0,0,0,2008,NA
25,MA,0,1,0,2008,2016
26,MI,0,0,1,2008,2018
27,MN,0,1,0,2008,NA
28,MS,0,1,0,2008,NA
29,MO,0,0,0,2008,NA
30,MT,0,0,1,2008,NA
31,NE,0,1,0,2008,NA
32,NV,0,0,1,2008,2016
33,NH,0,0,0,2008,NA
34,NJ,0,0,0,2008,NA
35,NM,0,0,1,2008,NA
36,NY,0,1,0,2008,NA
37,NC,0,1,0,2008,NA
38,ND,0,0,0,2008,NA
39,OH,0,1,0,2008,NA
40,OK,0,0,0,2008,NA
41,OR,0,0,1,2008,2014
42,PA,0,0,0,2008,NA
43,PR,0,0,0,2008,NA
44,RI,0,0,1,2008,NA
45,SC,0,0,0,2008,NA
46,SD,0,0,0,2008,NA
47,TN,0,0,0,2008,NA
48,TX,0,0,0,2008,NA
49,UT,0,0,0,2008,NA
50,VT,0,0,1,2008,2018
51,VA,0,0,0,2008,NA
53,WA,0,0,1,2008,2012
54,WV,0,0,0,2008,NA
55,WI,0,0,0,2008,NA
56,WY,0,0,0,2008,NA
1,AL,0,0,0,2009,NA
2,AK,0,0,1,2009,2014
4,AZ,0,0,0,2009,NA
5,AR,0,0,0,2009,NA
6,CA,0,1,1,2009,2016
8,CO,0,1,0,2009,2012
9,CT,0,0,0,2009,NA
10,DE,0,0,0,2009,NA
11,DC,0,0,0,2009,NA
12,FL,0,0,0,2009,NA
13,GA,0,0,0,2009,NA
15,HI,0,0,1,2009,NA
16,ID,0,0,0,2009,NA
17,IL,0,0,0,2009,2019
18,IN,0,0,0,2009,NA
19,IA,0,0,0,2009,NA
20,KS,0,0,0,2009,NA
21,KY,0,0,0,2009,NA
22,LA,0,0,0,2009,NA
23,ME,0,0,1,2009,2016
24,MD,0,0,0,2009,NA
25,MA,0,1,0,2009,2016
26,MI,0,0,1,2009,2018
27,MN,0,1,0,2009,NA
28,MS,0,1,0,2009,NA
29,MO,0,0,0,2009,NA
30,MT,0,0,1,2009,NA
31,NE,0,1,0,2009,NA
32,NV,0,0,1,2009,2016
33,NH,0,0,0,2009,NA
34,NJ,0,0,0,2009,NA
35,NM,0,0,1,2009,NA
36,NY,0,1,0,2009,NA
37,NC,0,1,0,2009,NA
38,ND,0,0,0,2009,NA
39,OH,0,1,0,2009,NA
40,OK,0,0,0,2009,NA
